word,pos_symbol,pos_word,meaning
idálum,v,verb,"to put under, to demote, to descend."
ídas,n,noun,"furrow, line."
ídas,v,verb,"to line, to furrow."
idík,n,noun,"pigling, piglet."
ídlab,v,verb,"to catch fire, to burst into flame."
idú’,n,noun,dog.
iga,va,verbal affix,designating proposed action for instrumental focus.
ígham,v,verb,"to cough slightly, to clear the throat so as to attract attention."
iglésya,n,noun,church.
ígpat,v,verb,"to spark, to flicker, to twinkle as of stars."
igsú’un,n,noun,relation between godchild and children of godparents.
igú’,v,verb,"to fit, to accommodate."
ígut,v,verb,"to creak, to emit a grating sound by friction."
íhaw,v,verb,"to broil, to roast over live coal."
íhi,n,noun,axle bar.
íhi’,n,noun,urine.
íhi’,v,verb,"to urinate, to pass water."
íla,pr,pronoun,"their, theirs (third person plural pre-position source pronoun)."
ilá,adj,adjective,"elusive, untamed, undomesticated."
íla’,v,verb,"to like, to admire, to appreciate, to wish for."
ilagá’,n,noun,"rodent, rat, mouse."
ilayá,n,noun,"hinterland, remote area."
ílig,n,noun,"flow, current.;  ditch, drainage."
ílig,v,verb,"to flow, to run through."
ilímnun,n,noun,"drink, beverage, liquor."
ílis,v,verb,"to change, to alter, to vary, to replace, to exchange."
ílu,n,noun,orphan.
ílu,v,verb,"to become an orphan, to be orphaned."
íluk,n,noun,armpit.
ílug,v,verb,"to follow, to imitate, to copy, to forge."
ilúng,n,noun,nose.
ilúy,n,noun,mother.
imbénto,n,noun,"invention, creation."
imbénto,v,verb,"to invent, to devise."
imbestigár,v,verb,"to investigate, to censure."
imbitasyón,n,noun,invitation.
imprénta,n,noun,printing press.
imprénta,v,verb,"to print, to put in paper through a printing press."
ímpun,v,verb,"to join together, to conglomerate, to associate, to pull talents together."
impúntu,adv,adverb,"of time, sharp, on the dot."
ímu,pr,pronoun,"your, yours (second person singular pre-position source pronoun)."
ímul,adj,adjective,"poor, impoverized."
ímul,v,verb,"to become poor, to lose money or wealth."
ímun,n,noun,"jealousy, envy."
ímun,v,verb,to feel jealous.
impyérno,n,noun,"hell, nether world."
1-in-,na,noun formative,noun formative affix.
2-in-,aa,adjective formative,formative affix to designate manner or state of being.
3-in-,va,verbal affix,designating manner of performance or state of being.
iná’,d,deictic,that (far from the speaker).
1-in-…-an,na,noun formative,noun formative affix.
2-in-…-an,va,verbal affix,completed action transitive verb affix.
inánu,n,noun,"dwarfish man, man of dwarfish proportions."
índay,n,noun,"younger girls of age one to fifteen, address term for girls chronologically younger than the speaker, address term for unfamiliar non-acquainted informal relationship."
índi’,adv,adverb,"negative particle, no."
índis’índis,n,noun,"contest, competition."
índis’índis,v,verb,"to hold a contest, to compete."
ineksyón,n,noun,"injection, syringe."
ineksyón,v,verb,"to inject, to prick with a needle."
iní,d,deictic,this (near the speaker).
ínit,n,noun,"heat, temperature, heat of the sun, anger."
ínit,adj,adjective,"warm, hot, in rage, passionate."
ínit,v,verb,"to heat, to boil, to make angry, to enrage, to boil with passion or rage."
inítan,n,noun,sunshine.
inosénte,adj,adjective,innocent.
insúltu,n,noun,"insult, ridicule."
insúltu,v,verb,"to insult, to ridicule, to affront."
interés,n,noun,"interest, raise."
interés,v,verb,"to be interested in, to covet."
intsík,n,noun,chinese.
íntu’,n,noun,flattery.
íntu’,v,verb,"to convince with good graces, to play ball with emotions, to flatter."
inúg-,na,noun formative,instrumental noun formative affix.
inúm,n,noun,"drink, beverage, liquor;  beverage, liquor."
inúm,v,verb,"to drink, to take in."
inúmul,n,noun,"fist, clinched fist."
ínut,adj,adjective,"frugal, stingy, thrifty."
inútil,adj,adjective,"useless, decrepit, disabled."
ínyu,pr,pronoun,"your, yours (second person plural pre-position source pronoun)."
ingkáhi,n,noun,"lace, trimming for a dress."
ingkántu,n,noun,"fairy, evil spirit."
ingkántu,adj,adjective,enchanted.
inínglis,n,noun,english language.
ingít,adj,adjective,"irritable, angry, in bad temper."
ingít,v,verb,"to be in a bad mood, to be irritated."
