Word,Part of speech,affixation,meaning,example,English example,source
hubog,adjective,,"drunk; inebriated
Synonyms: burat, buyong, nakainom, lango",,,https://en.wiktionary.org/wiki/hubog
hubu,adjective,,accusative singular of huba,,,https://en.wiktionary.org/wiki/hubu
hubug,adjective,,alternative spelling of hubog (“drunk; intoxicated”),,,https://en.wiktionary.org/wiki/hubug
hugot,adjective,,"suicide (usually by a hangman's noose around one's neck)
Synonym: pakagadan",,,https://en.wiktionary.org/wiki/hugot
hugut,adjective,,tight,,,https://en.wiktionary.org/wiki/hugut
ignorante,adjective,,"ignorant
Synonym: mangmang",,,https://en.wiktionary.org/wiki/ignorante
isa,adjective,,(international standards) ISO 639-3 language code for Isabi.,,,https://en.wiktionary.org/wiki/isa
isa pa,adjective,,"likewise, plus",,,https://en.wiktionary.org/wiki/isa_pa
itom,adjective,,black (color/colour),,,https://en.wiktionary.org/wiki/itom
kabanyagaan,adjective,,"mean, malicious, vile, wicked",,,https://en.wiktionary.org/wiki/kabanyagaan
kabangis,adjective,,"fierceness, ferocity",,,https://en.wiktionary.org/wiki/kabangis
kabataon,adjective,,young,,,https://en.wiktionary.org/wiki/kabataon
kadam-an,adjective,,many,,,https://en.wiktionary.org/wiki/kadam-an
kadiotay,adjective,,small,,,https://en.wiktionary.org/wiki/kadiotay
kapid,adjective,,nominative plural of kapp,,,https://en.wiktionary.org/wiki/kapid
katalaka,adjective,,"annoying, bothersome",,,https://en.wiktionary.org/wiki/katalaka
Katsila,adjective,,"Spanish
Synonym: Espanyol",,,https://en.wiktionary.org/wiki/Katsila
laba,adjective,,"length (measurement)
Synonym: lawig
Antonym: lipot",,,https://en.wiktionary.org/wiki/laba
lamokon,adjective,,filled with mosquitoes,,,https://en.wiktionary.org/wiki/lamokon
lanog,adjective,,"weal; bruise, black eye",,,https://en.wiktionary.org/wiki/lanog
lapuyot,adjective,,"thick, condensed, coagulated",,,https://en.wiktionary.org/wiki/lapuyot
law-ay,adjective,,vulgar; debased,,,https://en.wiktionary.org/wiki/law-ay
lipay,adjective,,"(Naga) caterpillar
Synonym: atitiras",,,https://en.wiktionary.org/wiki/lipay
lunangon,adjective,,muddy,,,https://en.wiktionary.org/wiki/lunangon
