word,POS symbol,POS word,placement,affix,meaning,Example,English Sample,Page
hinganíban,n,noun,,,weapon.,,,150
hingapús,v,verb,,"/mag-, -un/","to end, to finish, to complete, to terminate.",Naghingapús na si Gil sa íya pagtu’ún.,Gil has finished studying already.,150
hingí’ki’,v,verb,,/mag-/,to clean the teeth of tartar.,Naghingí’ki’ si Lóla.,Lola cleaned her teeth.,150
hingukú,v,verb,,"/mag-, -an/","to cut the nails, to trim and clean the fingernails.",Naghingukú si Lucílle.,Lucille manicured her nails. 123,150
hingúyang,n,noun,,,food preparation.,,,151
,v,verb,,"/mag-, -un/","to hesitate to spend, to waste, to spend unwisely.",Naghingúyang si María maggástos.,Maria hesitated to spend too much.,151
híngyu’,v,verb,,"/mag-, -un/","to think, to plan, to have the intention, to deliberate.",Naghíngyu’akúng makádtu sa Cebú.,I planned on going to Cebu.,151
hípag,n,noun,,,"sister-in-law, brother-in-law.",,,151
hípid,adj,adjective,,/ma-/,"neat, orderly, dressy.",,,151
hípus,adj,adjective,,/ma-/,"quiet, silent, still.",,,151
,n,noun,,/ka-/,"stillness, silence, quietness.",,,151
,v,verb,,/mag-/,"to be silent, to keep quiet, to keep still.",Naghípus ang kláse.,The class became quiet.,151
hírup,adj,adjective,,/ma-/,"intimate, tender.",,,151
,n,noun,,/ka-/,"comrade, friend, close friend.",,,151
hísa,n,noun,,/ka-/,"envy, jealousy.",,,151
,adj,adjective,,/ma-/,"envious, jealous, selfish.",,,151
hisáyud,v,verb,,/mag-/,"to ask for an explanation, to request information.",Naghisáyud akú sang pláno.,I asked about the plan.,151
híta’,n,noun,,,"thigh, crotch.",,,151
hítad,v,verb,,"/mag-, -un/","to stretch, to open and smooth out as of cloth or paper.",Ginhitad ku ang papél.,I smoothed out the paper.,151
híwa’,n,noun,,,"chunck, sliced piece, one slice.",,124,151
,v,verb,,"/mag-, -un/","to slice, to carve, to cut to pieces.",,,152
híwat,v,verb,,"/mag-, -un/","to celebrate, to hold a feast.",Ginhíwat nya ang íya ka’adláwan.,She celebrated her birthday.,152
hiyás,n,noun,,,"precious stone, gem.",,,152
híyud,v,verb,,/mag-/,to stretch out.,Naghíyud si José.,Jose stretched forth.,152
hornál,n,noun,,,"laborer, workman.",,,152
hu’ád,adj,adjective,,,counterfeit.,,,152
,n,noun,,,"copy, duplicate.",,,152
,v,verb,,"/mag-, -un/",to copy.,,,152
húbad,v,verb,,"/mag-, -un/","to loosen, to untie, to solve, to translate.",Ginhúbad ku ang higút.,I untied the string.,152
hubág,n,noun,,,"swelling, boil.",,,152
,adj,adjective,,,"swollen, bulging.",,,152
,v,verb,,/mag-/,"to swell, to bulge.",Naghubág ang ákun matá.,My eye is swollen.,152
hubás,v,verb,,"/mag-, -an/","to evaporate, to dry up.",Naghubás ang túbig sa labadór.,The water in the basin evaporated.,152
húben,adj,adjective,,,young.,,,152
húblag,n,noun,,,"social compatibility, social movement, organization with revolutionary functions and aims.",,,152
húblas,adj,adjective,,,naked.,,125,152
,v,verb,,"/mag-, -an/","to strip off, to take off.",,,153
húbu’,adj,adjective,,,"naked, unclad.",,,153
,v,verb,,"/mag-, -an/","to unclad, to take off.",,,153
hubúg,n,noun,,/pala-/,drunk;  drunkard.,,,153
,v,verb,,/ma-/,"to become drunk, to drink to excess.",,,153
hubún,n,noun,,,group.,,,153
húk’ab,v,verb,,/un/,to loosen and fall off.,Ninhúk’ab ku ang gúma sang áwto.,I removed the tire of the car.,153
húkas,v,verb,,"/mag-, -un/","to remove, to detach, to take off.",Naghúkas akú sang mangá aláhas.,I took off my jewelry.,153
hukúm,n,noun,,,judge.,,,153
,v,verb,,/mag-/,"to pass judgement, to try a court case.",,,153
Hudéyu,n,noun,,,Jew.,,,153
hugák,adj,adjective,,,loose.,,,153
,v,verb,,"/mag-, -an/","to untie, to loosen.",Ginhugakán ni Juán ang íya páha.,Juan loosened his belt.,153
hugakúm,v,verb,,/-un/,"to clasp in the fist, to grab, to grasp, to usurp.",Ginhugakúm ni Alfónso ang mánggad sang íya amáy.,Alfonso usurped all the wealth of his father.,153
húgas,v,verb,,"/mag-, -an/",to wash hands and other objects except clothes.,Naghúgas akú sang pínggan.,I washed the plates. 126,153
húgpa’,v,verb,,/mag-/,"to land, to perch, to come to rest especially of flying objects.",Naghúgpa’ ang eropláno.,The airplane landed.,154
húgpung,n,noun,,,"bundle, bouquet.",,,154
,v,verb,,"/mag-, -un/","to make a bundle, to join together as a group.",Ginhúgpung ku ang mangá búlak.,I bundled the flowers.,154
hugút,adj,adjective,,,tight.,,,154
húgyaw,n,noun,,,"noisy laughter, enjoyment.",,,154
,v,verb,,/mag-/,"to be joyful, to cheer.",Naghúgyaw ang mangá táwu sa Presidente.,The people cheered the President.,154
húlag,n,noun,,,"movement, action.",,,154
,v,verb,,"/mag-, -un/","to move, to stir, to get busy.",,,154
hulám,v,verb,,"/mag-, -un/",to borrow.,,,154
húlas,n,noun,,,"perspiration, moisture.",,,154
,v,verb,,/-un-…-an/,to perspire.,Ginhulásan akú.,I perspired.,154
hulát,n,noun,,,"waiting, expectations.",,,154
,v,verb,,"/mag-, -un/","to wait, to expect, to be ready for.",,,154
hulík,v,verb,,/mag-/,to snap at or to swallow the bait.,Naghulík ang ísda’ sa pa’ún.,The fish snapped at the bait.,154
húlid,v,verb,,"/mag-, -an/","to lie alongside, to lie together.",Naghúlid silá magkatulúg.,They slept together. 127,154
húlip,v,verb,,"/mag-, -an/","to fill in strips, to patch a hole in a mat.",Naghúlip akú sang baníg.,I patched a mat.,155
húlug,v,verb,,/ma-/,"to fall down, to tumble.",Nahúlug ang líbro.,"The book fell.; /-un/ to drop, to throw. Ginhúlug ku ang líbro. I dropped the book.",155
hulúnan,n,noun,,,"roost, place for resting.",,,155
,v,verb,,/mag-/,"to roost, to settle down for rest or sleep as with fowls.",,,155
Húlyo,n,noun,,,July.,,,155
humán,adj,adjective,,,"finished, completed, terminated.",,,155
,v,verb,,"/ma-, -un/","to terminate, to accomplish, to finish.",Nahumán ku ang trabáho.,I finished the work.,155
humáy,n,noun,,,rice plant.,,,155
húmlad,v,verb,,"/mag-, -un/","to spread out, to open, to unfold.",Naghúmlad ang bandéra.,The flag spread out.,155
húmuk,adj,adjective,,/ma-/,"soft, feathery.",,,155
,v,verb,,/mag-/,"to become soft, to become tender.",Naghúmuk ang kárne pagkalá’ga’.,The meat became soft after it was boiled.,155
humút,n,noun,,/pa-/,"smell, odor.;  cologne, perfume, essence.",,,155
,adj,adjective,,/ma-/,"fragrant, sweet smelling, odorous.",,,155
huná’,adj,adjective,,/ma-/,"fragile, frail.",,,155
huná’huná’,n,noun,,,"thoughts, ideas, opinion.",,128,155
,v,verb,,"/mag-, -un/","to think, to have the idea, to consider.",,,156
hunás,n,noun,,/-an/,low tide.;  beach.,,,156
,v,verb,,/mag-/,to have low tide.,,,156
huní,n,noun,,,"sound, chirp, whine.",,,156
,v,verb,,/mag-/,"of birds and insects, to hum, to chirp, to whistle.",Naghuní ang píspis.,The bird chirped.,156
húnit,adj,adjective,,/ma-/,"durable, lasting.",,,156
hún’ug,n,noun,,,"dew, moisture on the ground.",,,156
húnung,v,verb,,"/mag-, -un/","to stop, to cease, to detain.",,,156
hunús,n,noun,,,"shelf, drawer.",,,156
húnus,v,verb,,"/mag-, -un/","to draw out, to pull out as a drawer.",,,156
hunúsbu’,adj,adjective,,/ma-/,"fretful, whimpering.",,,156
Húnyo,n,noun,,,June.,,,156
hungúd,adj,adjective,,,intentional.,,,156
,v,verb,,/-un/,"to do intentionally, to act voluntarily.",Ginhungúd ni Manuél ang pagtápak sa ímu.,Manuel stepped on your foot intentionally.,156
hupay,n,noun,,,nightmare.,,,156
hupút,v,verb,,"/mag-, -un/","to keep, to hold, to have.",,,156
huragúk,n,noun,,,snore.,,,156
,v,verb,,/mag-/,to snore.,,,156
huramúl,adj,adjective,,/ma-/,damp.,,129,156
hurínghúring,n,noun,,,"rumor, news.",,,157
,v,verb,,/-un/,"to be rumored, to be spread as news.",Ginhurínghúring nga nakasál na kunú si Nina It was rumored that Nina got married.,,157
húrma,n,noun,,,"mold, cast.",,,157
,v,verb,,"/mag-, -un/","to mold, to fit into a cast.",,,157
húrno,n,noun,,,oven.,,,157
,v,verb,,"/mag-, -un/",to bake in an oven.,,,157
hurubatún,n,noun,,,"maxim, saying.",,,157
hurúng,n,noun,,,"bad guy, goon.",,,157
huruśhurus,adj,adjective,,,"cad, rude, without gentlemanly instincts.",,,157
húsay,n,noun,,,"comb, settlement, solution.",,,157
,v,verb,,"/mag-, -un/","to comb one’s hair, to settle, to arrange, to set in order.",,,157
húslu’,v,verb,,"/ma-, -un/","to unsheathe, to draw out by accident, to drop off its container.",Nahúslu ang kutsílyo sa púlu.,The knife came off its handle.,157
hústu,adv,adverb,,,"enough, adequate, correct, fit, just right.",,,157
hutík,n,noun,,,whisper.,,,157
,v,verb,,"/mag-, -un/",to speak in a whisper.,,,157
hú’u,adv,adverb,,,"yes, affirmative particle.",,,157
hu’úl,n,noun,,/ka-/,"sadness, woe.",,,157
hu’út,adj,adjective,,,tight.,,130,157
,n,noun,,/ka-/,tightness.,,,158
huwád,v,verb,,"/mag-, -un/","to copy, to duplicate.",,,158
huwés,n,noun,,,judge.,,,158
húy,intj,interjection,,,"hey, oh.",,,158
huyá’,n,noun,,,"shame, disgrace.",,,158
,adj,adjective,,/ka-…-lu-…/,"disgraceful, shameful.",,,158
,v,verb,,/ma-/,"to be ashamed, to feel reproach.",Nahuyá’ akú.,I am ashamed.,158
húyab,v,verb,,/mag-/,to run away suddenly with great speed.,Naghúyab si Noél pakádto sa plása.,Noel ran to the plaza.,158
húy’ab,n,noun,,,yawn.,,,158
,v,verb,,/magpang-/,to yawn.,Nagpanghúy’ab si Líta.,Lita yawned.,158
huyá’huyá’,n,noun,,,sensitive plant.,,,158
húyang,adj,adjective,,/ma-/,"rickety, shaky.",,,158
,v,verb,,"/mag-, -un/","to shake, to be rickety.",Ginhúyang ku ang púno sang bayábas.,I shook the guava tree.,158
huyúp,n,noun,,,"blast, blow, breath.",,,158
,v,verb,,"/mag-, -un/","to blow, to breathe upon, to expel breath.",Ginhuyúp ku ang tapútapú.,I blew the dust away.,158
Hwébes,n,noun,,,Thursday.,,131,158
1-i-,va,verbal affix,,,general proposed action instrumental affix.,Ikíhad ku ang kutsílyo sang kárne.,I will cut the meat with the knife.; imperative instrumental affix. Ikíhad mu ang kutsílyo sang kárne. Cut the meat with the knife.,159
2-i-,va,verbal affix,imperative,,goal focus affix.,Ihátag mu ang sulát kay Mérle.,Give the letter to Merle.,159
-i,va,verbal affix,imperative,,benefactive-locative focus affix.,Tagá’i and táwu sang kwárta.,Give the man some money.,159
ibábaw,adv,adverb,,,"on top of, on the surface.",,,159
,v,verb,,"/magpa-, -un-…-pa-/","to be on top of, to put on top.",Ginpa’ibábaw ku ang papél sa líbro.,I put the paper on top of the book.,159
ibán,n,noun,,,"other, some other.",,,159
íbid’íbid,v,verb,,/mag-/,"to chaperon, to tag along, to tail along.",Nag’-ibíd’íbid ang mańghud sa maguláng niya.,The younger child tagged along the older one.,159
íbug,v,verb,,/ma-/,"to have a passion for, to crave for.",,,159
,na,noun formative,,,’íbug akú sang páhu’.,1-iká- numa ordinal numeral affix.,I crave for mango. Sa ikaduháng grádo,159
,na,noun formative,,,si Gabriel.,,Gabriel is in the second grade now.,159
2-ika-,va,verbal affix,verbal,,designating possibility of an action to happen.,Ikasulát ku ang lápis.,I will be able to write with the pencil.,159
ikáw,pr,pronoun,,,you (singular second person nominal pronoun).,,132,159
íkit,adj,adjective,,/ma-/,"close together, dense, least possible space between the elements.",,,160
íkug,n,noun,,,tail.,,,160
ikúg’íkug,v,verb,,/magpang-/,"to tail along, to tag along, to wag the tail as a dog.",,,160
idálum,adv,adverb,,,"underneath, below, at the bottom.",,,160
,v,verb,,"/magpa-, -un…-pa-/","to put under, to demote, to descend.",Ginpa’idálum ku ang kárton sa lamésa.,I put the box under the table.,160
ídas,n,noun,,,"furrow, line.",,,160
,v,verb,,"/mag-, -un/","to line, to furrow.",Gin’ídas ku ang talámnan.,I made furrows in the rice field.,160
idík,n,noun,,,"pigling, piglet.",,,160
ídlab,v,verb,,/mag-/,"to catch fire, to burst into flame.",Nag’ídlab ang kaláyu.,The fire burst into flame.,160
idú’,n,noun,,,dog.,,,160
iga,va,verbal affix,verbal,,designating proposed action for instrumental focus.,Igasulát ku ang lápis.,More formal form of i-. I will write with the pencil.,160
ígham,v,verb,,/mag-/,"to cough slightly, to clear the throat so as to attract attention.",Nag’ígham akú sa kláse.,I cleared my throat in class.,160
iglésya,n,noun,,,church.,,,160
ígpat,v,verb,,"/mag-, -an/","to spark, to flicker, to twinkle as of stars.",Nag’ígpat ang kíngki.,The lamp emitted a spark. 133,160
igsú’un,n,noun,,,relation between godchild and children of godparents.,,,161
igú’,v,verb,,/mag-/,"to fit, to accommodate.",Nag’ígu’ ang pitú ka táwu sa íya kótse.,Seven people were accommodated in his car.,161
ígut,v,verb,,/mag-/,"to creak, to emit a grating sound by friction.",Nag’ígut ang motór.,The machine creaked.,161
íhaw,v,verb,,"/mag-, -un/","to broil, to roast over live coal.",,,161
íhi,n,noun,,,axle bar.,,,161
íhi’,n,noun,,,urine.,,,161
,v,verb,,"/mag-, -an/","to urinate, to pass water.",Nag’íhi’ sya.,He urinated.,161
íla,pr,pronoun,,,"their, theirs (third person plural pre-position source pronoun).",,,161
ilá,adj,adjective,,/ma-/,"elusive, untamed, undomesticated.",,,161
íla’,v,verb,,"/ma-, -an/","to like, to admire, to appreciate, to wish for.",Na’íla’ akú sa íya.,I like her.,161
ilagá’,n,noun,,,"rodent, rat, mouse.",,,161
ilayá,n,noun,,,"hinterland, remote area.",,,161
ílig,n,noun,,/-an/,"flow, current.;  ditch, drainage.",,,161
,v,verb,,"/mag-, -an/","to flow, to run through.",Nag’ílig ang túbig sa médya’ágwa.,Water flows through the awning.,161
ilímnun,n,noun,,,"drink, beverage, liquor.",,,161
ílis,v,verb,,"/mag-, -an/","to change, to alter, to vary, to replace, to exchange.",Nag’ílis akú sang báyu’.,I changed my clothes. 134,161
ílu,n,noun,,,orphan.,,,162
,v,verb,,/ma-/,"to become an orphan, to be orphaned.",,,162
íluk,n,noun,,,armpit.,,,162
ílug,v,verb,,"/mag-, -un/","to follow, to imitate, to copy, to forge.",,I imitated the handwriting of Lourdes.,162
ilúng,n,noun,,,nose.,,,162
ilúy,n,noun,,,mother.,,,162
imbénto,n,noun,,,"invention, creation.",,,162
,v,verb,,"/mag-, -un/","to invent, to devise.",,,162
imbestigár,v,verb,,"/mag-, -un/","to investigate, to censure.",,,162
imbitasyón,n,noun,,,invitation.,,,162
imprénta,n,noun,,,printing press.,,,162
,v,verb,,"/mag-, -un/","to print, to put in paper through a printing press.",,,162
ímpun,v,verb,,"/mag-, -un/","to join together, to conglomerate, to associate, to pull talents together.",Nag’ímpun ang mangá estudyánte sa libreríya.,The students gathered in the library.,162
impúntu,adv,adverb,,,"of time, sharp, on the dot.",,135,162
ímu,pr,pronoun,,,"your, yours (second person singular pre-position source pronoun).",,,163
ímul,adj,adjective,,,"poor, impoverized.",,,163
,v,verb,,/mag-/,"to become poor, to lose money or wealth.",,,163
ímun,n,noun,,/ka-/,"jealousy, envy.",,,163
,v,verb,,/ma-/,to feel jealous.,Na’ímun ang asáwa ni Patérno sa íya. Paterno’s wife is jealous of him.,,163
impyérno,n,noun,,,"hell, nether world.",,,163
1-in-,na,noun formative,,,noun formative affix.,Tilawí ang iníhaw.,Taste the roast.,163
2-in-,aa,adjective formative,adjective,,formative affix to designate manner or state of being.,Manámit ang sinúgbang ísda’.,The broiled fish is delicious.,163
3-in-,va,verbal affix,verbal,,designating manner of performance or state of being.,Sinúgba ku ang ísda’.,I broiled the fish.,163
iná’,d,deictic,,,that (far from the speaker).,,,163
1-in-…-an,na,noun formative,,,noun formative affix.,Malayú’ ang íya inapúkan.,He was thrown to a far place.,163
2-in-…-an,va,verbal affix,,,completed action transitive verb affix.,Linábhan ku ang mangá lagú’.,I washed the soiled clothes.,163
inánu,n,noun,,,"dwarfish man, man of dwarfish proportions.",,,163
índay,n,noun,,,"younger girls of age one to fifteen, address term for girls chronologically younger than the speaker, address term for unfamiliar non-acquainted informal relationship.",,136,163
índi’,adv,adverb,,,"negative particle, no.",,,164
índis’índis,n,noun,,,"contest, competition.",,,164
,v,verb,,/magpa-/,"to hold a contest, to compete.",Nagpaíndis’índis silá sa kláse.,They had a contest in class.,164
ineksyón,n,noun,,,"injection, syringe.",,,164
,v,verb,,"/mag-, -an/","to inject, to prick with a needle.",,,164
iní,d,deictic,,,this (near the speaker).,,,164
ínit,n,noun,,,"heat, temperature, heat of the sun, anger.",,,164
,adj,adjective,,/ma-/,"warm, hot, in rage, passionate.",,,164
,v,verb,,"/mag-, -un/","to heat, to boil, to make angry, to enrage, to boil with passion or rage.",Nag’ínit ang ákun úlu pagkakíta’ ku kay Juán.,I boiled with anger when I saw Juan.,164
inítan,n,noun,,,sunshine.,,,164
inosénte,adj,adjective,,,innocent.,,,164
insúltu,n,noun,,,"insult, ridicule.",,,164
,v,verb,,"/mag-, -un/","to insult, to ridicule, to affront.",,,164
interés,n,noun,,,"interest, raise.",,,164
,v,verb,,"/mag-, -an/","to be interested in, to covet.",Naginterés ang kwárta ku sa bángko.,My money earned interest in the bank.,164
Intsík,n,noun,,,Chinese.,,,164
íntu’,n,noun,,,flattery.,,137,164
,v,verb,,"/mag-, -un/","to convince with good graces, to play ball with emotions, to flatter.",Gin’íntu’ ku si Cárlos pára dál’un niya akú sa síni.,I flattered Carlos so that he will bring me to the movie.,165
inúg-,na,noun formative,,,instrumental noun formative affix.,Inugsulát iní.,This is something to write with.,165
inúm,n,noun,,/-li-/,"drink, beverage, liquor;  beverage, liquor.",,,165
,v,verb,,"/mag-, -un/","to drink, to take in.",,,165
inúmul,n,noun,,,"fist, clinched fist.",,,165
ínut,adj,adjective,,/ma-/,"frugal, stingy, thrifty.",,,165
inútil,adj,adjective,,,"useless, decrepit, disabled.",,,165
ínyu,pr,pronoun,,,"your, yours (second person plural pre-position source pronoun).",,,165
ingkáhi,n,noun,,,"lace, trimming for a dress.",,,165
ingkántu,n,noun,,,"fairy, evil spirit.",,,165
,adj,adjective,,/-ado/,enchanted.,,,165
inínglis,n,noun,,,English language.,,,165
ingít,adj,adjective,,,"irritable, angry, in bad temper.",,,165
,v,verb,,"/mag-, -un/","to be in a bad mood, to be irritated.",,,165
íngud,v,verb,,"/mag-, -un/","to be close by, to move closer, to be intimate with, be beside of.",Nag’íngud ang síya kag ang lamésa.,The chair and the table are close together.,165
íngus,v,verb,,/mag-/,"to sniffle, to draw air audibly.",,138,165
ípa-,va,verbal affix,verbal,,designating causation of action by the actor.,Ipatahí’ ku ang báyu’.,I will have the dress sewed.,166
íping,v,verb,,"/mag-, -an/","to seat next to, to be at the side of, to adjoin.",Gin’ipíngan ku si Lóurdes.,I sat beside Lourdes.,166
ípit,v,verb,,"/mag-, -un/","to compress, to squeeze, to press between.",Gin’ípit ku ang kalamánsi.,I squeezed the lime.,166
íput,n,noun,,/-li-…-an/,"feces, animal waste matter;  anus.",,,166
,v,verb,,/mag-/,to move the bowel.,,,166
irás,v,verb,,/ma-/,"to feel uncomfortable with, to have a low regard for.",,,166
isá,num,numeral,,/ika-/,one;  first.,,,166
ísda’,n,noun,,,fish.,,,166
,v,verb,,/magpang-/,"to catch fish, to go out to the sea to catch fish.",Nagpangísda’ ang mangá mangingísda’.,The fisherman went out to catch fish.,166
ísi’ísi,v,verb,,/mag-/,"to walk unsteadily, to stagger, to be unsteady in walking.",Nag’ísi’ísi ang hubúg.,The drunk man staggered.,166
ísip,n,noun,,,"number, count.",,,166
,v,verb,,"/mag-, -un/","to count, to reckon, to enumerate.",,,166
ispíya,n,noun,,,"spy, fifth column.",,,166
,v,verb,,"/mag-, -an/","to spy, to watch closely.",,,166
-ista,na,noun formative,,,noun formative affix denoting profession or type of job.,Nasahísta si José.,Jose is a masseur. 139,166
istórya,n,noun,,,"conversation, story.",,,167
,v,verb,,"/mag-, -un/","to tell a story, to converse.",,,167
ísu,n,noun,,,chalk.,,,167
ísug,n,noun,,/ka-/,"courage, boldness, bravery.",,,167
,adj,adjective,,/ma-/,"bold, brave, courageous.",,,167
,v,verb,,"/mag-, -un/","to become courageous, to make one’s self brave to face adversities.",Gin’ísug ku ang bu’ut ku.,I made myself brave enough.,167
ísul,v,verb,,"/mag-, -un/","to retreat, to move back, to step back so as to make way.",Nag’ísul akú pára maka’ági sya.,I moved back so she can pass.,167
íswag,v,verb,,"/mag-, -un/","to move over, to extend, to move away, to make room.",Gin’íswag ku ang lamésa.,I moved the table.,167
ítik,n,noun,,,duckling.,,,167
,v,verb,,/-un/,to tickle.,,,167
itikíta,n,noun,,,"trademark, label.",,,167
ítlug,n,noun,,,egg.,,,167
,v,verb,,/mag-/,to lay an egg.,,,167
itúm,adj,adjective,,,"black, dark, dark in complexion.",,,167
,v,verb,,/mag-/,"to become black, to get a tan.",,,167
íwag,n,noun,,,"light, illumination.",,,167
íwat,adj,adjective,,/ma-/,"grave, seriously ill.",,140,167
íya,pr,pronoun,,,"his, her, hers, its (third person singular pre-position source pronoun).",,,168
iyá,pt,particle,,,"specifier distinguishing particle used before or after a deictic, noun or pronoun chosen to be emphasized.",Ákun líbro iná’ íya.,That book is mine. 141,168
1-la-,va,verbal affix,plural,,"or group action affix, used together with general aspect affixes.",Nag’úlupud ang mangá báta’ sa tindáhan.,The children went to the store with someone.,169
2-la-,na,noun formative,plural,/mag-/,noun formative affix when combined with .,Mag’ulútud silá.,They are brothers and sisters.,169
3-la-,aa,adjective formative,plural,,adjective formative affix.,Mabúg’at ang mangá dalágkung batú.,The boulders are heavy.,169
-la-…-an,na,noun formative,,,noun formative affix designating repetitive or social action occurring in a place.,Halampángan iní.,This is a playground.,169
lá’aw,v,verb,,"/mag-, -un/","to watch, to observe, to look out of the window.",Naglá’aw ang dalága sa íya haranísta.,The lady looked out of the window to acknowledge her serenader.,169
labá,v,verb,,"/mag-, -an/","of clothes, to wash.",,,169
,n,noun,,/-era/,laundrywoman.,,,169
lába’,n,noun,,/ka-/,"length, duration, extent.",,,169
,adj,adjective,,/ma-/,"long, extending for a considerable distance.",,,169
labábu,n,noun,,,"lavabo, washbasin.",,,169
lábag,v,verb,,/-un/,"to be against, to violate.",Ginlábag mu ang kasugu’án.,You disobeyed the rule. 142,169
labáha,n,noun,,,"razor blade, razor.",,,170
labán,con,conjunction,,,"besides, except, moreover, furthermore.",,,170
labatíba,n,noun,,,enema.,,,170
,v,verb,,"/mag-, -un/",to give or apply an enema.,,,170
láb’as,adj,adjective,,,"raw, fresh as of fruits and vegetables.",,,170
labáw,adv,adverb,,,"aside from, besides, more than.",,,170
,v,verb,,"/mag-, -an/","to surpass, to exceed.",Naglabáw ang íya kamisún.,Her slip was showing.,170
labáy,v,verb,,/mag-/,"to go through, to pass by.",,,170
labí,adv,adverb,,,"more than, exceedingly.",,,170
,v,verb,,/mag-/,"to exceed, to surpass.",,,170
labú’,v,verb,,"/mag-, -un/","to strike with a machete or an ax, to smite with great force.",Ginlabú’ ku ang púnu’ sang ságing.,I struck the trunk of the banana plant.,170
láb’uk,v,verb,,"/mag-, -un/","to sip, to take a draught.",Nagláb’uk si Roméo sang tubá’ sa tyénda.,Romeo took a sip of tuba in the store.,170
labúgay,v,verb,,"/mag-, -un/","to stir, to mix especially liquids.",,,170
lábut,n,noun,,,"business, concern.",,,170
lábyug,v,verb,,"/mag-, -un/","to hurl, to fling, to throw to a far distance.",Ginlábyug ku ang batú.,I hurled the stone.,170
laká’,adj,adjective,,/ma-/,"scarce, rare, sometimes.",,143,170
lák’ang,n,noun,,,"big step, step which is as far as the legs can extend.",,,171
,v,verb,,"/mag-, -an/","to step over, to make a big step.",Ginlak’angán ku si Manuél.,I stepped over Manuel.,171
lakát,n,noun,,,"trip, walk, business trip.",,,171
,v,verb,,"/mag-, -un/","to walk, to go, to leave.",,,171
lákbang,v,verb,,"/mag-, -an/","to stride, to make a big step.",,,171
lakíp,v,verb,,/-un/,"to include, to enclose, to insert.",,,171
láklak,v,verb,,"/mag-, -un/",to lap with the tongue.,Ginláklak sang bábuy ang damúg.,the pig ate the food.,171
láktaw,v,verb,,"/mag-, -an/","to pass over, to miss, to skip.",,,171
láktud,v,verb,,"/mag-, -un/",to take a short cut.,Ginláktud ku ang dálan.,I made a short cut.,171
ládlad,v,verb,,"/mag-, -un/","to open, to spread, to unfold.",Nagládlad akú sang mantél.,I spread the table cloth.,171
lá’ga’,v,verb,,"/mag-, -un/","to boil, to cook in water.",,,171
lagabúng,v,verb,,/mag-/,"to fall to the ground with a flop, to rumble.",Naglagabúng ang sin pagkahúlug.,The sheet of galvanized iron rumbled when it fell.,171
lagári’,n,noun,,,"saw, carpenter’s tool.",,,171
,v,verb,,"/mag-, -un/",to cut with a saw.,,,171
lagás,v,verb,,"/mag-, -un/","to pursue, to run after, to chase.",,,171
lagátik,n,noun,,,"snap, clicking sound.",,144,171
lagatúk,n,noun,,,"snap, dull thud, dull sound.",,,172
lágawlágaw,v,verb,,/mag-/,"to wander about, to roam around, to stroll.",Naglagáwlaǵaw akú sa plása.,I strolled through the park.,172
lágda’,n,noun,,,"mark, sign, signature.",,,172
lági,adv,adverb,,,"frequently, often.",,,172
lágpit,n,noun,,,rat trap.,,,172
lágtum,adj,adjective,,/ma-/,"black, dark.",,,172
lagú,n,noun,,,earthworm.,,,172
lagú’,n,noun,,,"soiled clothes, laundry.",,,172
lagwérta,n,noun,,,"lawn, yard, orchard.",,,172
lágyu’,adv,adverb,,,"far, at a distance.",,,172
,v,verb,,"/magpa-, -un…-pa-/","to run away, to flee, to go to a far off place.",,,172
lahúg,n,noun,,,"joke, teasing.",,,172
lahúgláhug,n,noun,,,"joke, teasing.",,,172
,v,verb,,"/mag-, -un/","to joke, to make fun, to quip.",,,172
lá’in,adj,adjective,,/ma-/,"bad, immodest, unfavorable, unjurous.",,,172
la’ín,adj,adjective,,,"different, changed, dissimilar, various.",,,172
,v,verb,,"/mag-, -un/","to change, to be different.",Nagla’ín ang ákun ísip.,I changed my mind.,172
lála,v,verb,,"/mag-, -un/","to weave, to weave together.",Naglála akú sang baníg.,I wove a mat. 145,172
lalá’,v,verb,,/mag-/,"to become seriously ill, to become severe.",Naglalá’ ang íya balatí’an.,She became more sick.,173
laláki,n,noun,,,"male, man, boy, male illicit lover.",,,173
laláw,v,verb,,/mag-/,"to be in black mourning dress, to wear mourning clothes.",Naglaláw si Ána sa íya ilúy.,Ana mourned for her mother.,173
lalím,n,noun,,,flavor.,,,173
lális,v,verb,,"/mag-, -an/","to pay no heed to, to disobey.",,,173
lamá’lamá’,v,verb,,"/mag-, -un/","to cut into small pieces as of ribs, to cut meat with bones into thin pieces.",Ginlamá’lamá’ ku ang gúsuk.,I cut the ribs.,173
lámang,con,conjunction,,,"but, only, mere, just.","Lúyag akú magbakál sang báyu’ lámang walá’ akú sang kwárta. I would like to buy a dress, but I don’t have money.",,173
laḿbat,n,noun,,,"net, woven rattan net of native beds.",,,173
lámbut,v,verb,,"/ma-, -un/","to reach, to arrive, to attain.",Ginlámbut ku ang syudád sang Báguio.,I reached the city of Baguio.,173
lamésa,n,noun,,,table.,,,173
laḿgud,adj,adjective,,,barren.,,,173
lamíg,n,noun,,,coldness.,,,173
,adj,adjective,,/ma-/,"cold, cool, low in temperature for weather and liquids.",,,173
lamígas,n,noun,,,"grain, cereal.",,,173
lámluk,n,noun,,,moth.,,146,173
lampás,v,verb,,"/mag-, -an/","to surpass, to overtake.",Ginlampasán ku ang áwtu.,I overtook the car.,174
